Name,Template
getOAID,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
splashAdAllViewLayoutStateChange,"{""state"": 1}"
addMapGroundOverlay,"{""visible"": true, ""latitude"": 1.0, ""mapId"": 1, ""opacity"": 1.0, ""longitude"": 1.0, ""zIndex"": 1}"
operateRealtimeData,{}
getBLEDeviceCharacteristics,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""deviceId"": ""test"", ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""serviceId"": ""test"", ""Key"": ""test""}"
getMapIndoorFloor,"{""mapId"": 1}"
disableLocationUpdate,{}
showDatePickerView,"{""mode"": ""test"", ""current"": ""test"", ""headerText"": ""test"", ""start"": ""test"", ""range"": {}, ""end"": ""test"", ""fields"": ""test""}"
closeBluetoothAdapter,{}
canvasToTempFilePath,{}
exitGameLive,{}
returnTakeScreenshot,"{""url"": ""test""}"
cryptoOperate,"{""id"": 1, ""type"": ""test""}"
setNavigationBarColor,"{""duration"": 1, ""timingFunc"": ""test"", ""alpha"": 1.0, ""animation"": {}}"
canvasToTempFilePath,{}
privateEnterContact,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""renderer"": ""test"", ""sessionFrom"": ""test"", ""singlePage"": {}, ""enableFullScreen"": true, ""businessId"": ""test"", ""skyline"": {}, ""title"": ""test"", ""sdkVersionBegin"": ""test"", ""navigationBarFit"": ""test"", ""sdkVersionEnd"": ""test"", ""homeButton"": true, ""androidVersionEnd"": ""test"", ""subTitle"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""navigationBarTitleText"": ""test"", ""appId"": ""test"", ""showMessageCard"": true, ""backgroundColor"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""androidVersionBegin"": ""test"", ""enablePullDownRefresh"": true, ""disableABTest"": true, ""backgroundTextStyle"": ""test"", ""userName"": ""test"", ""visualEffectInBackground"": ""test"", ""sendMessageImg"": ""test"", ""sendMessageTitle"": ""test"", ""handleWebviewPreload"": ""test"", ""contactUsername"": ""test"", ""navigationBarRightButton"": {}, ""hide"": true, ""navigationBarBackgroundAlpha"": 1.0, ""pageOrientation"": ""test"", ""backgroundColorContent"": ""test"", ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""page"": {}, ""sendMessagePath"": ""test"", ""window"": {}, ""headimgUrl"": ""test""}"
runInferenceSession,"{""input"": {}, ""shape"": [], ""data"": 1, ""sessionId"": 1, ""type"": ""test""}"
mkdir,{}
addPhoneCalendar,"{""allDay"": true, ""repeatEndTime"": 1, ""repeat"": true, ""repeatInterval"": ""test"", ""description"": ""test"", ""startTime"": 1, ""location"": ""test"", ""endTime"": 1, ""title"": ""test""}"
operateAudio,"{""currentTime"": 1, ""audioId"": ""test"", ""operationType"": ""test"", ""timestamp"": 1}"
chooseVideo,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""sourceType"": [], ""ExptType"": 1, ""compressed"": true, ""ExptSequence"": 1, ""ExptId"": 1, ""maxDuration"": ""test"", ""Key"": ""test""}"
loadJsFiles,"{""paths"": [], ""key"": ""test""}"
requestVerifyUserIdentity,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""sessionid"": ""test"", ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
navigateBackApplication,"{""extraData"": ""test"", ""appId"": ""test""}"
getConnectedWifi,"{""acceptIncompleteWiFiInfo"": true, ""checkNetInfo"": true}"
openWeComUserProfileForFakeNative,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""bizInfo"": ""test"", ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""scene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
saveVideoToPhotosAlbum,"{""filePath"": ""test""}"
openChannelsOrderCenter,{}
insertXWebWebGLCanvas,"{""canvasId"": 1}"
joinVoIPChat,"{""Val"": ""test"", ""videoRatio"": 1, ""EndTime"": 1, ""signature"": ""test"", ""SvrType"": 1, ""lifespan"": 1, ""groupId"": ""test"", ""BucketSrc"": 1, ""roomId"": 1, ""muteEarphone"": true, ""maxHeight"": 1, ""handsFree"": true, ""ExptId"": 1, ""roomType"": 1, ""maxWidth"": 1, ""sessionKey"": ""test"", ""StartTime"": 1, ""nonceStr"": ""test"", ""GroupId"": 1, ""timeStamp"": 1, ""privateData"": ""test"", ""muteMicrophone"": true, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
getFuzzyLocation,"{""type"": ""test""}"
openHKOfflinePayView,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
moveMapMarkerAlong,{}
closeBluetoothAdapter,{}
verifyPlugin,"{""data"": ""test""}"
launchApplicationForNative,"{""operateDirectly"": ""test"", ""sourceInfo"": ""test"", ""alertType"": ""test"", ""signature"": ""test"", ""appId"": ""test"", ""parameter"": ""test"", ""bizInfo"": ""test"", ""schemeUrl"": ""test"", ""packageName"": ""test"", ""extInfo"": ""test""}"
rtosWatchQuickReply,"{""action"": 1}"
operateXWebLivePlayer,"{""viewId"": 1, ""type"": ""test""}"
enableCompass,"{""enable"": true, ""interval"": 1}"
openChannelsRedPacketPublish,{}
vibrateShort,"{""style"": ""test""}"
getUserAutoFillData,"{""getAllInfo"": true, ""clientVersion"": 1, ""fields"": []}"
addDownloadTaskForNative,"{""useDownloaderWidget"": true, ""fileMd5"": ""test"", ""taskSize"": 1, ""scene"": 1, ""extInfo"": ""test"", ""alterUrl"": ""test"", ""downloaderType"": 1, ""taskUrl"": ""test"", ""appId"": ""test"", ""taskName"": ""test"", ""packageName"": ""test"", ""fileType"": ""test"", ""downloadInWifi"": true}"
readCompressedFile,{}
startBLEPeripheralAdvertising,{}
shareFinderShop,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
updateKeyboard,"{""value"": ""test""}"
logInJava,{}
openADCanvas,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""canvasDynamicInfo"": ""test"", ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""openFirstSightVoice"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
private_setPageOrientation,"{""orientation"": ""test""}"
cryptoGetGeneratedKeys,{}
startCustomFacialRecognitionVerify,"{""checkAliveType"": 1, ""requestVerifyPreInfo"": ""test""}"
publishWeChatState,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
hideStatusBar,{}
connectWifi,"{""password"": ""test"", ""BSSID"": ""test"", ""maunal"": true, ""acceptIncompleteWiFiInfo"": true, ""SSID"": ""test"", ""timeout"": 1, ""forceNewApi"": true}"
removeXWebLivePusher,"{""viewId"": 1}"
launchMiniProgram,"{""SystemAuthBizScene"": 1, ""downloadURL"": ""test"", ""Uint32WxaLibPrivateMaxFileStorageSizeInMB"": 1, ""TempFileSizeLimitTotal"": 1, ""scene"": 1, ""path"": ""test"", ""NewSetting"": {}, ""auto_update"": true, ""WidgetImageFlowLimitMaxSize"": 1, ""HeaderBlackList"": [], ""ClientStorageMinMB"": 1, ""AppServiceType"": 1, ""MaxWorkerConcurrent"": 1, ""black_style"": {}, ""DownloadMaxTimeoutMS"": 1, ""height"": 1, ""NativeBufferSizeLimitByte"": 1, ""UploadMaxTimeoutMS"": 1, ""LifeSpanAfterSuspend"": 1, ""version"": 1, ""materialSize"": 1, ""noRelaunchIfPathUnchanged"": true, ""navigation_bar_text_color"": ""test"", ""GamePerfCollectInterval"": 1, ""CanPreFetchData"": 1, ""icon_big"": {}, ""size"": 1, ""preSceneNote"": ""test"", ""firstPageNavigationStyle"": ""test"", ""MaxCodeSize"": 1, ""Key"": ""test"", ""BrandOfficialLabel"": 1, ""AgeAppropriateLevel"": 1, ""separated_plugin_list"": ""test"", ""plugin_id"": ""test"", ""renderer"": ""test"", ""version_desc"": ""test"", ""independent"": true, ""MaxDownloadConcurrent"": 1, ""CheckInterval"": 1, ""SvrType"": 1, ""WebsocketMaxTimeoutMS"": 1, ""module_list"": ""test"", ""StarNumberLimitation"": 1, ""SyncLaunchSceneList"": [], ""SystemAuthFrequencyLimitFlag"": 1, ""UsePackageConfirmSubDescScopeList"": [], ""icon_dark"": {}, ""WidgetDrawMinInterval"": 1, ""PullVersionWxaUsageLastInterval"": 1, ""PeriodFetchData"": 1, ""sessionId"": ""test"", ""AppMaxBackgroundLaunchBluetoothCount"": 1, ""background_color"": ""test"", ""OpenWxaWaitUpdateMinMicSec"": 1, ""template_id"": 1, ""TaskBarSyncUsageRecordIntervalMinute"": 1, ""HTTPSetting"": {}, ""PullVersionMaxCountPerRequest"": 1, ""OpenWxaWaitUpdateMaxMicSecForWeakNet"": 1, ""contexts"": [], ""GlobalWxaFileStorageCleanMbThreshold"": 1, ""semver"": ""test"", ""appId"": ""test"", ""MaxUploadConcurrent"": 1, ""TaskBarItemCountLimitation"": 1, ""inner_version"": 1, ""PreCgiCallByteBeforeLaunch"": ""test"", ""StartTime"": 1, ""ShowRelievedBuyFlag"": 1, ""WeUseRecallInterval"": 1, ""WidgetImageFlowLimitDuration"": 1, ""device_orientation"": ""test"", ""ExptType"": 1, ""page"": {}, ""HeaderWhiteList"": [], ""WxaWebRenderingCacheMaxStorageSizeMB"": 1, ""RunningFlagInfo"": {}, ""AppSharedResourceBackgroundRunningCount"": 1, ""InvalidContactFreqBlockSeconds"": 1, ""PrefetchDNSDomain"": [], ""NewTaskBarRecentsItemCountLimitation"": 1, ""AppVersion"": 1, ""PackageManager"": {}, ""NewCategories"": [], ""DownloadFileSizeLimit"": 1, ""ExpendedMaxWebviewDepth"": 1, ""without_lib_md5"": ""test"", ""PreDownloadUserNameBlackList"": [], ""SingleWxaFileStorageCleanMbThreshold"": 1, ""CanShowLoadingAdvert"": 1, ""debug_launch_info"": ""test"", ""OriginalRedirectUrl"": ""test"", ""OpenWxaWaitUpdateMaxMicSec"": 1, ""CanPeriodFetchData"": 1, ""username"": ""test"", ""fromBusinessUsername"": ""test"", ""Val"": ""test"", ""WsRequestDomain"": [], ""extraData"": ""test"", ""FlagshipSetting"": {}, ""OpendataMaxFileStorageSize"": 1, ""UploadDomain"": [], ""UDPDomain"": [], ""Appid"": ""test"", ""Network"": {}, ""GuaranteeFlag"": 1, ""ExptId"": 1, ""VersionMD5"": ""test"", ""open_remote"": true, ""AppMaxRunningCount"": 1, ""ForceSyncUpdateWhenLaunchLastInterval"": 1, ""MaxBackgroundLifespan"": 1, ""WithoutContactClearSeconds"": 1, ""Uint32MaxTempFileStorageSizeInMB"": 1, ""loading_image_info"": {}, ""progressbar_color"": ""test"", ""RunningFlag"": 1, ""MigrateInfo"": {}, ""EndTime"": 1, ""Uint32MinTempFileStorageSizeInMB"": 1, ""CanShowGameLoadingAdvert"": 1, ""TCPDomain"": [], ""widget_list"": ""test"", ""AppMaxBackgroundBluetoothCount"": 1, ""Uint32MaxLocalstorageSizeInMB"": 1, ""instanceId"": ""test"", ""TLSSkipHostnameCheck"": 1, ""MaxGlobalStorageItemSize"": 1, ""wxapkg_md5"": ""test"", ""CanNotStarWxaBeforeTime"": 1, ""HTTPHeaderReferer"": ""test"", ""LifeSpanBeforeSuspend"": 1, ""DownloadDomain"": [], ""SubContextImgDomain"": [], ""resizable"": true, ""WechatPluginApp"": 1, ""fake_native_loading_style_info"": {}, ""url"": ""test"", ""MaxGlobalStorageSize"": 1, ""GroupId"": 1, ""icon_gray"": {}, ""envVersion"": ""test"", ""RequestDomain"": [], ""CDNBaseURL"": ""test"", ""width"": 1, ""ExptSequence"": 1, ""MaxRequestConcurrent"": 1, ""first"": ""test"", ""md5"": ""test"", ""AgeAppropriateIcon"": {}, ""BatchPreFetchBusiFlag"": 1, ""checkSumMd5"": ""test"", ""entrance_module"": ""test"", ""BucketSrc"": 1, ""client_js_ext_info"": ""test"", ""preScene"": 1, ""GameMaxRunningCount"": 1, ""package_type"": 1, ""RequestMaxTimeoutMS"": 1, ""PerformIndexReportGapInSeconds"": 1, ""sceneNote"": ""test"", ""second"": ""test"", ""Uint32OpendataMaxLocalstorageSizeInMB"": 1, ""WXDataMaxRequestConcurrent"": 1, ""MaxLocalStorageItemSize"": 1, ""icon_green"": {}, ""custom_version"": ""test"", ""BluetoothBackgroundTimeoutWithoutConnectionInSeconds"": 1, ""white_style"": {}, ""EntranceModule"": ""test"", ""halfPage"": {}, ""WebsocketSkipPortCheck"": 1, ""MaxWebsocketConnect"": 1, ""prefix_path"": ""test"", ""materialName"": ""test"", ""NativeBufferQueueLimitByte"": 1, ""icon_light"": {}, ""TradeGuaranteeMenuSetting"": ""test"", ""HTTPHeaderMode"": ""test"", ""WholeClientStoragePercent"": 1, ""CanKeepAliveByAudioPlay"": 1, ""NextTryOpenWxaDisMicSec"": 1, ""SyncVersionSetting"": {}, ""VersionState"": 1, ""code_size"": 1, ""extoptions"": ""test"", ""dev_key"": 1, ""brotli"": true, ""WhiteScreenDetectThresholdFloatNew"": 1.0, ""OriginalFlag"": 1, ""AppOpenForbiddenUrl"": ""test"", ""PeriodFetchDataDay"": 1, ""isTransparentBackgroundSupport"": ""test"", ""UseModule"": true, ""alias"": [], ""GamePerfCollectSamplePercentage"": 1.0, ""GameDownloadFileSizeLimit"": 1, ""LoadingWeakNetDelayDurationInSecondsAndroid"": 1, ""ShowFlagshipFlag"": 1, ""Uint32MaxFileStorageSizeInMB"": 1, ""LaunchFallbackMinVersion"": 1, ""ExptCheckSum"": ""test"", ""PullVersionMaxCount"": 1, ""parallelDownloadOnLaunchStage"": true, ""ScanCodeEnableZZM"": 1, ""PullVersionInterval"": 1, ""target_appid"": ""test"", ""CDNPreConnectURL"": ""test"", ""RelievedBuySetting"": {}}"
handleBrandPersonalCenterAction,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""c2bRedDotCount"": 1, ""sessionId"": 1, ""GroupId"": 1, ""actionType"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
setBackgroundColor,"{""backgroundColor"": ""test""}"
enableLocationUpdate,"{""type"": ""test""}"
openChannelsLive,{}
operateTingAudio,{}
operateMediaTrack,"{""operationType"": ""test"", ""source"": ""test""}"
requestSRFile,{}
openNewLifeEditor,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
recordOperateUserDataInWa,{}
removeMapGroundOverlay,"{""mapId"": 1}"
invokeMiniProgramAPI,{}
showSalesDrivingMenu,{}
reportSubmitForm,{}
fromScreenLocation,"{""mapId"": 1}"
translateMapMarker,{}
vibrateLong,{}
queryTrafficCardInfo,"{""Val"": ""test"", ""deviceType"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""deviceData"": {}, ""BucketSrc"": 1, ""StartTime"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test""}"
requestWCPayRealnameVerify,"{""Val"": ""test"", ""EndTime"": 1, ""ExptCheckSum"": ""test"", ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""GroupId"": 1}"
getIPAddress,{}
setMapCenterOffset,"{""animated"": true, ""mapId"": 1}"
preloadSkylineView,{}
cropImage,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""renderer"": ""test"", ""singlePage"": {}, ""enableFullScreen"": true, ""skyline"": {}, ""sdkVersionEnd"": ""test"", ""navigationBarFit"": ""test"", ""sdkVersionBegin"": ""test"", ""homeButton"": true, ""androidVersionEnd"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""navigationBarTitleText"": ""test"", ""height"": 1, ""backgroundColor"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""src"": ""test"", ""androidVersionBegin"": ""test"", ""enablePullDownRefresh"": true, ""disableABTest"": true, ""backgroundTextStyle"": ""test"", ""visualEffectInBackground"": ""test"", ""handleWebviewPreload"": ""test"", ""hide"": true, ""navigationBarRightButton"": {}, ""navigationBarBackgroundAlpha"": 1.0, ""pageOrientation"": ""test"", ""backgroundColorContent"": ""test"", ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""width"": 1, ""window"": {}, ""page"": {}}"
setUserAutoFillData,"{""dataList"": ""test"", ""clientVersion"": 1}"
getStorageInfo,"{""storageId"": 1}"
canvasToTempFilePath,"{""width"": 1, ""destWidth"": ""test"", ""fileType"": ""test"", ""destHeight"": ""test"", ""height"": 1, ""quality"": 1.0}"
cryptoCompute,"{""id"": 1}"
shareAppMessage,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""videoMD5"": ""test"", ""singlePage"": {}, ""type"": ""test"", ""sdkVersionEnd"": ""test"", ""sdkVersionBegin"": ""test"", ""homeButton"": true, ""liteAppPath"": ""test"", ""mode"": ""test"", ""path"": ""test"", ""chatroomUsername"": ""test"", ""playDesc"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""liteAppId"": ""test"", ""androidVersionBegin"": ""test"", ""appBrandPriority"": 1, ""visualEffectInBackground"": ""test"", ""videoPath"": ""test"", ""thumbDataHash"": ""test"", ""navigationBarRightButton"": {}, ""useDefaultSnapshot"": true, ""pageOrientation"": ""test"", ""navigationBarBackgroundAlpha"": 1.0, ""backgroundColorContent"": ""test"", ""webViewUrl"": ""test"", ""disableForward"": true, ""page"": {}, ""desc"": ""test"", ""videoThumbPath"": ""test"", ""renderer"": ""test"", ""liteAppQuery"": ""test"", ""signature"": ""test"", ""openId"": ""test"", ""enableFullScreen"": true, ""link"": ""test"", ""liteAppBizData"": ""test"", ""skyline"": {}, ""title"": ""test"", ""navigationBarFit"": ""test"", ""androidVersionEnd"": ""test"", ""liteAppPriority"": 1, ""cacheKey"": ""test"", ""navigationBarTitleText"": ""test"", ""imageUrl"": ""test"", ""messageExtraData"": ""test"", ""hasRelievedBuyPlugin"": true, ""backgroundColor"": ""test"", ""videoButtonText"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""cardSubType"": 1, ""enablePullDownRefresh"": true, ""sdk_isFromMenu"": true, ""disableABTest"": true, ""backgroundTextStyle"": ""test"", ""handleWebviewPreload"": ""test"", ""hide"": true, ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""to"": ""test"", ""window"": {}, ""webpageUrl"": ""test""}"
private_openUrl,"{""Val"": ""test"", ""commonUxInfo"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""BucketSrc"": 1, ""StartTime"": 1, ""url"": ""test"", ""GroupId"": 1, ""scene"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""isNativeStyle"": true, ""adInfo"": ""test"", ""ExptSequence"": 1, ""ExptId"": 1, ""adUxInfo"": ""test"", ""Key"": ""test""}"
preloadWebview,{}
openWeAppSearch,"{""Val"": ""test"", ""ExptCheckSum"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""ExptType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""ExptSequence"": 1, ""ExptId"": 1, ""Key"": ""test"", ""GroupId"": 1}"
chooseContact,{}
addDownloadTask,"{""downloaderType"": 1, ""taskUrl"": ""test"", ""appId"": ""test"", ""showNotification"": true, ""taskName"": ""test"", ""packageName"": ""test"", ""taskSize"": 1, ""fileMd5"": ""test"", ""fileType"": ""test"", ""downloadInWifi"": true, ""extInfo"": ""test""}"
setDeviceOrientation,"{""value"": ""test""}"
operateNativeView,"{""viewId"": 1}"
requestPayment,{}
getLocalLiveInfo,{}
updateShareMenuDynamic,"{""isDynamic"": true}"
shareFileMessage,"{""Val"": ""test"", ""fileName"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""filePath"": ""test"", ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""ExptType"": 1, ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test""}"
enterContact,"{""rendererOptions"": {}, ""customButtonIconData"": ""test"", ""renderer"": ""test"", ""sessionFrom"": ""test"", ""singlePage"": {}, ""enableFullScreen"": true, ""businessId"": ""test"", ""skyline"": {}, ""sdkVersionEnd"": ""test"", ""navigationBarFit"": ""test"", ""sdkVersionBegin"": ""test"", ""homeButton"": true, ""androidVersionEnd"": ""test"", ""navigationBarBackgroundColor"": ""test"", ""navigationBarTitleText"": ""test"", ""showMessageCard"": true, ""backgroundColor"": ""test"", ""navigationStyle"": ""test"", ""resizable"": true, ""androidVersionBegin"": ""test"", ""enablePullDownRefresh"": true, ""disableABTest"": true, ""backgroundTextStyle"": ""test"", ""visualEffectInBackground"": ""test"", ""sendMessageImg"": ""test"", ""sendMessageTitle"": ""test"", ""handleWebviewPreload"": ""test"", ""navigationBarRightButton"": {}, ""hide"": true, ""pageOrientation"": ""test"", ""navigationBarBackgroundAlpha"": 1.0, ""backgroundColorContent"": ""test"", ""disableSwipeBack"": true, ""navigationBarTextStyle"": ""test"", ""window"": {}, ""page"": {}, ""sendMessagePath"": ""test""}"
enableSplashAdHotStart,"{""intervalThreshold"": 1, ""isShow"": true}"
setClipboardData,"{""data"": ""test""}"
unlink,{}
pauseDownloadTask,"{""downloadId"": 1}"
getRegionData,{}
hideVirtualBottomNavigationBar,{}
restart,"{""mode"": ""test"", ""privateExtraData"": ""test"", ""force"": true, ""url"": ""test"", ""scene"": 1}"
secureTunnel,{}
openQRCode,"{""Val"": ""test"", ""EndTime"": 1, ""SvrType"": 1, ""StartTime"": 1, ""BucketSrc"": 1, ""GroupId"": 1, ""ExptCheckSum"": ""test"", ""needResult"": ""test"", ""ExptType"": 1, ""scanType"": ""test"", ""ExptId"": 1, ""ExptSequence"": 1, ""Key"": ""test"", ""desc"": ""test""}"
requestPayment,{}
hideNavigationBar,{}
releaseInferenceSession,"{""sessionId"": 1}"
setCurrentPaySpeech,"{""dialectPackId"": ""test"", ""tempFilePath"": ""test"", ""md5Sum"": ""test"", ""version"": ""test"", ""isOnlyDownload"": true}"
clearAdPushMsg,"{""slotid"": ""test""}"
addMapMarkers,"{""rotate"": 1.0, ""borderColor"": ""test"", ""callout"": ""test"", ""color"": ""test"", ""independent"": true, ""data"": ""test"", ""latitude"": ""test"", ""clusterId"": 1, ""content"": ""test"", ""bgColor"": ""test"", ""alpha"": 1.0, ""id"": ""test"", ""floorName"": ""test"", ""shadowColor"": ""test"", ""longitude"": ""test"", ""zIndex"": 1, ""joinCluster"": true, ""textAlign"": ""test"", ""display"": 1, ""customCallout"": ""test"", ""clear"": true, ""label"": ""test"", ""shadowOpacity"": 1, ""ariaLabel"": ""test"", ""buildingId"": ""test"", ""collision"": ""test"", ""viewId"": 1, ""anchor"": ""test"", ""x"": 1.0, ""y"": 1.0, ""fontSize"": 1, ""mapId"": 1, ""iconPath"": ""test"", ""markers"": ""test""}"
roamApiChannel,{}
login,{}
createVestUser,"{""editAvatarInfo"": {}, ""avatarUrl"": ""test"", ""nickname"": ""test"", ""defaultAvatarFileId"": ""test"", ""id"": ""test"", ""sessionId"": 1, ""defaultAvatarUrl"": ""test""}"
updateAppContact,"{""appId"": ""test"", ""username"": ""test""}"
reportPageData,{}
removeSavedFile,"{""filePath"": ""test""}"
getRandomValues,"{""length"": 1}"
